9.948,-1.640,2.282,-0.8615,-0.0482,-0.2832,29.17
9.953,-1.290,2.325,-0.8849,-0.0013,-0.2750,29.16
9.924,-1.197,2.377,-0.7757,0.0229,-0.2595,29.16
9.601,-1.439,2.363,-0.6752,0.0541,-0.2998,29.18
9.816,-1.915,2.392,-0.5860,0.0195,-0.2891,29.17
9.773,-1.851,2.298,-0.6203,0.0016,-0.2848,29.16
9.890,-1.867,2.404,-0.7935,0.0584,-0.2633,29.17
9.890,-1.595,2.370,-0.8620,0.0616,-0.2577,29.19
9.778,-1.391,2.370,-0.8426,0.0637,-0.2435,29.17
9.735,-1.231,2.365,-0.7682,0.0413,-0.2318,29.19
9.668,-1.322,2.428,-0.6696,0.0218,-0.2609,29.16
9.855,-1.872,2.593,-0.5947,-0.0330,-0.2571,29.18
9.759,-1.453,2.344,-0.6451,-0.0285,-0.2745,29.18
9.761,-1.386,2.296,-0.7448,-0.0152,-0.2691,29.16
9.771,-1.183,2.351,-0.7951,-0.0330,-0.2641,29.19
9.871,-1.044,2.332,-0.8055,-0.0032,-0.2406,29.19
9.816,-1.003,2.437,-0.7810,0.0360,-0.2502,29.18
9.768,-1.113,2.516,-0.7304,0.0448,-0.2649,29.17
9.704,-1.132,2.552,-0.6813,0.0296,-0.2934,29.18
9.864,-1.006,2.591,-0.6667,0.0322,-0.3128,29.17
9.890,-1.053,2.610,-0.6773,0.0208,-0.3323,29.17
10.029,-0.917,2.593,-0.6915,0.0400,-0.3480,29.19
10.060,-0.874,2.672,-0.7053,0.0568,-0.3552,29.18
9.708,-0.898,2.543,-0.6845,0.0677,-0.3027,29.18
9.797,-0.871,2.646,-0.6161,0.0834,-0.2806,29.17
9.680,-0.864,2.710,-0.5934,0.0861,-0.2745,29.16
9.742,-0.678,2.667,-0.5465,0.0831,-0.2814,29.18
9.687,-0.723,2.684,-0.5089,0.0661,-0.3008,29.18
9.869,-0.879,2.648,-0.4964,0.0501,-0.2721,29.19
9.761,-0.991,2.703,-0.5084,0.0211,-0.2278,29.19
9.699,-1.030,2.658,-0.5161,-0.0080,-0.1943,29.19
9.737,-0.874,2.722,-0.4682,-0.0061,-0.2116,29.17
9.974,-0.730,2.729,-0.4029,-0.0306,-0.1314,29.17
10.022,-0.848,2.840,-0.3624,-0.0344,-0.1092,29.18
9.900,-1.022,2.990,-0.3576,-0.0290,-0.0911,29.20
9.890,-1.022,3.053,-0.3808,-0.0184,-0.0549,29.18
9.864,-1.123,3.007,-0.4112,-0.0011,-0.0624,29.19
9.914,-0.931,2.909,-0.4005,0.0088,-0.0032,29.17
9.828,-0.821,2.914,-0.3206,0.0269,0.0242,29.18
9.697,-0.895,2.916,-0.2694,0.0429,0.0301,29.19
9.713,-1.123,2.885,-0.2723,0.0573,0.0240,29.19
9.816,-1.125,2.926,-0.3539,0.0538,0.0061,29.19
9.950,-0.898,2.717,-0.4109,0.0458,0.0115,29.18
9.953,-0.826,2.749,-0.3507,0.0514,0.0133,29.19
9.998,-0.797,2.444,-0.3200,0.1132,0.0341,29.18
9.922,-0.816,2.677,-0.2718,0.0997,0.0381,29.18
9.957,-0.871,2.519,-0.2350,0.1450,0.0208,29.19
10.230,-1.015,2.523,-0.1980,0.1021,0.0003,29.18
10.587,-1.041,2.552,-0.2364,0.0951,-0.0208,29.18
10.669,-0.919,2.665,-0.3344,0.0618,0.0061,29.18
10.659,-0.759,2.538,-0.3992,0.0490,0.0115,29.19
10.355,-0.608,2.397,-0.4197,0.0480,0.0051,29.19
10.221,-0.445,2.234,-0.4530,0.0610,-0.0067,29.18
9.883,-0.227,2.049,-0.4362,0.1170,-0.0245,29.17
9.598,-0.084,1.937,-0.3776,0.1743,-0.0725,29.21
9.402,-0.232,1.939,-0.3429,0.2305,-0.0919,29.20
9.258,-0.340,1.824,-0.3914,0.2491,-0.1029,29.17
9.462,-0.517,1.867,-0.4090,0.2068,-0.1284,29.21
