-0.75,0.56,9.97,10.02,IMPACT
-0.73,0.53,9.89,9.93,IMPACT
-0.76,0.55,9.93,9.98,IMPACT
-0.74,0.62,9.94,9.98,IMPACT
-0.72,0.58,9.93,9.97,IMPACT
-0.77,0.57,9.91,9.96,IMPACT
-0.75,0.59,9.92,9.97,IMPACT
-0.75,0.54,9.90,9.95,IMPACT
-0.77,0.51,9.88,9.92,IMPACT
-0.82,0.68,9.88,9.94,IMPACT
-0.72,0.54,9.94,9.98,IMPACT
-0.73,0.51,9.89,9.93,IMPACT
-0.79,0.54,9.95,10.00,IMPACT
-0.75,0.57,9.92,9.97,IMPACT
-0.78,0.58,9.87,9.92,IMPACT
-0.79,0.59,9.94,9.99,IMPACT
-0.79,0.59,9.92,9.97,IMPACT
-0.76,0.57,9.93,9.98,IMPACT
-0.76,0.55,9.93,9.98,VERIFY
-0.75,0.57,9.87,9.92,VERIFY
-0.79,0.60,9.93,9.98,VERIFY
-0.74,0.60,9.87,9.92,VERIFY
-0.74,0.66,9.97,10.02,VERIFY
-0.74,0.61,9.89,9.93,VERIFY
-0.86,0.63,9.98,10.03,VERIFY
-0.77,0.59,9.93,9.98,VERIFY
-0.76,0.57,9.88,9.92,VERIFY
-0.78,0.59,9.99,10.04,VERIFY
-0.75,0.57,9.84,9.89,VERIFY
-0.79,0.61,9.99,10.04,VERIFY
-0.76,0.62,9.89,9.94,VERIFY
-0.73,0.58,9.92,9.97,VERIFY
-0.82,0.56,9.92,9.97,VERIFY
-0.73,0.57,9.87,9.91,VERIFY
-0.79,0.58,9.95,10.00,VERIFY
-0.83,0.60,9.96,10.02,VERIFY
-0.78,0.56,9.86,9.91,VERIFY
-0.78,0.54,9.90,9.95,VERIFY
-0.78,0.60,9.93,9.98,VERIFY
-0.77,0.54,9.89,9.93,VERIFY
-0.77,0.60,9.90,9.95,VERIFY
-0.74,0.57,9.91,9.96,VERIFY
-0.72,0.64,9.96,10.01,VERIFY
-0.75,0.64,9.90,9.95,VERIFY
-0.67,0.71,9.95,10.00,VERIFY
-0.72,0.68,9.84,9.89,VERIFY
-0.62,0.71,9.99,10.04,FALL!
-0.80,0.79,9.87,9.93,FALL!
-0.57,0.73,9.74,9.78,FALL!
-0.69,1.00,9.97,10.05,FALL!
-0.65,1.11,10.09,10.17,FALL!
-0.59,0.98,9.84,9.91,FALL!
-0.51,1.01,9.71,9.78,FALL!
-0.45,1.21,9.95,10.03,FALL!
-0.62,1.25,9.92,10.02,FALL!
